label,repo_id,full_name,description,language,topics,stars,forks,open_issues,contributor_count,size_kb,is_fork,is_archived,last_commit_days_ago,repo_age_days,has_readme,readme_size_bytes,has_docker,has_requirements,has_tests_folder,has_ci_cd,root_file_count
junior,238030883,conda-forge/admin-requests,,Python,,37,493,60,412,4655,False,False,0,2305,True,8414,False,True,False,True,12
junior,1014031303,ALTIbaba/claude-code-openai-wrapper,"OpenAI API-compatible wrapper for Claude Code. Use it with any OpenAI client library for fast, seamless integration. 🚀🌟",Python,,31,4,0,2,621,False,False,0,326,True,5031,False,True,False,False,21
junior,1013940319,astrodragonv/claudecode-rule2hook,Transform natural language project rules into Claude Code hooks effortlessly with claudecode-rule2hook. Automate your workflows with ease! 🚀🪝,Python,,19,3,0,2,595,False,False,0,327,True,8054,False,False,False,False,15
junior,347969681,lhh/jirate,"High-level CLI/API for Trello and JIRA, based on Trollo and python-jira",Python,,11,3,6,6,668,False,False,0,1899,True,11798,False,True,False,True,17
junior,1224077477,coval-ai/benchmarks,Reproducible voice-AI benchmarking — TTS / STT latency and accuracy.,Python,"ai,ai-agents,speech-to-text,text-to-speech,voice-ai",6,4,7,5,600,False,False,0,28,True,1028,False,False,False,True,11
junior,1005064281,msgithub1/localflare,"LocalFlare offers a simple way to build desktop applications using Flask, providing a built-in browser and local service process. Explore the lightweight framework and start your project with ease! 🐙🌐",Python,"api,browser,chrome,chromium,electron,electron-app,firefox,flask,localflare,proxy,software,tauri,tauri-app,web,webview",6,1,0,2,622,False,False,0,342,True,586,False,True,False,False,12
junior,1237107770,paps-jp/paprika,Browser fleet for distributed web scraping with noVNC dashboards,Python,,12,10,0,1,4256,False,False,0,15,True,11154,False,True,False,True,24
junior,995973842,wijicute/ScriptSniffer,"# ScriptSniffer**ScriptSniffer** is a Python tool that extracts relative URLs from online JavaScript files and saves them as absolute URLs in a text file. Easy to use, this tool streamlines your workflow with a simple command-line interface. 🐙✨",Python,"api,blackhat,bugbounty,cybersecurity,dumper,hacking,hunter,javascript,kali-linux,linux,python,reconnaissance,termux",7,0,0,2,598,False,False,0,357,True,4489,False,False,False,False,4
junior,993265301,Armaan29-09-2005/AI-OSINT-Security-Analyzer,"AI OSINT Security Analyzer is an intelligent platform that leverages AI to perform autonomous investigations across various intelligence sources. With features like multi-source integration and real-time threat intelligence, it ensures comprehensive security assessments. 🛡️🔍",Python,"ai,ai-agent,analysis,cohere,cve,cve-analysis,cybersecurity,ip,ip-address,osint,osint-tool,osint-tools,python,security,security-analysis,shodan,streamlit,vulnerability-assessment",12,1,0,2,562,False,False,0,362,True,5770,False,True,False,False,9
junior,988763633,ShaironYT59/yargi-mcp,"Yargı MCP, Türk hukuk kaynaklarına erişimi kolaylaştıran bir sunucudur. Bu proje, kullanıcıların Yargıtay ve Danıştay kararlarını hızlıca bulmasını sağlar. 🚀💻",Python,,7,1,0,2,1137,False,False,0,369,True,3527,False,True,False,False,12
