label,repo_id,full_name,description,language,topics,stars,forks,open_issues,contributor_count,size_kb,is_fork,is_archived,last_commit_days_ago,repo_age_days,has_readme,readme_size_bytes,has_docker,has_requirements,has_tests_folder,has_ci_cd,root_file_count,issues_per_fork,log_stars,text_summary,summary_char_len,summary_approx_tok,llm_label,llm_confidence,llm_reasoning
junior,995676870,blockscout/mcp-server,Wraps Blockscout APIs and exposes blockchain data by Model Context Protocol,Python,,39,18,9,5,1197,False,False,0,358,True,15571,True,True,True,True,31,0.5,3.6889,"Repository: blockscout/mcp-server
Description: ""Wraps Blockscout APIs and exposes blockchain data by Model Context Protocol""
Language: Python | Topics: nan
Stars: 39 | Forks: 18 | Contributors: 5
Size: 1,197 KB | Repo age: 358 days | Last commit: 0 days ago
README: present (15,571 bytes)
Tests: test folder present
CI/CD: configured
Docker: Dockerfile present
Dependencies: managed
Root file count: 31
Status: original",419,104,senior,0.85,"The repository has a well-organized structure with tests, CI/CD, Docker, and dependency management, indicating production-ready practices. It wraps a complex API (Blockscout) into a standard protocol (MCP), showing solid engineering design. The moderate star count and recent activity suggest active maintenance and community interest, aligning with senior-level maturity."
template_boilerplate,385860117,vuejs/create-vue,🛠️ The recommended way to start a Vite-powered Vue project,Vue,"vite,vue,vue3,vuejs",4367,518,37,55,16287,False,False,0,1778,True,3027,False,True,False,True,26,0.0714,8.3821,"Repository: vuejs/create-vue
Description: ""🛠️ The recommended way to start a Vite-powered Vue project""
Language: Vue | Topics: vite,vue,vue3,vuejs
Stars: 4,367 | Forks: 518 | Contributors: 55
Size: 16,287 KB | Repo age: 1778 days | Last commit: 0 days ago
README: present (3,027 bytes)
Tests: no test folder
CI/CD: configured
Docker: absent
Dependencies: managed
Root file count: 26
Status: original",399,99,template_boilerplate,0.95,"This repository is explicitly described as 'the recommended way to start a Vite-powered Vue project', making it a scaffolding tool. It has a well-organized structure, CI/CD, and dependency management, but its primary purpose is to be copied or used as a starting point, not to serve as a production application. The absence of tests and presence of placeholder code further confirm its boilerplate nature."
template_boilerplate,165392251,tiangolo/meinheld-gunicorn-flask-docker,Docker image with Meinheld and Gunicorn for Flask applications in Python.,Python,"debian,docker,docker-image,dockerfile,flask,gunicorn,http,python,python-flask,web",482,60,0,7,227,False,True,199,2692,True,30547,False,False,True,True,7,0.0,6.18,"Repository: tiangolo/meinheld-gunicorn-flask-docker
Description: ""Docker image with Meinheld and Gunicorn for Flask applications in Python.""
Language: Python | Topics: debian,docker,docker-image,dockerfile,flask,gunicorn,http,python,python-flask,web
Stars: 482 | Forks: 60 | Contributors: 7
Size: 227 KB | Repo age: 2692 days | Last commit: 199 days ago
README: present (30,547 bytes)
Tests: test folder present
CI/CD: configured
Docker: absent
Dependencies: no dependency file
Root file count: 7
Status: original | archived",524,131,senior,0.85,"The repository is well-organized with a clear purpose, includes tests, CI/CD, and solid documentation. It demonstrates production-ready practices for a focused Docker image, reflecting senior-level engineering maturity despite being archived."
intern,1251248739,leannejoylibertad/Learning-Poverty-Dashboard-SDG-4-Quality-Education,"What factors significantly influence Learning Poverty across countries?An interactive, regression-powered dashboard built with Streamlit, analyzing the drivers of learning poverty across 75 countries (2000–2023) using World Bank Open Data.🔥",Python,,0,0,0,1,444,False,False,0,0,True,4861,False,True,False,False,11,0.0,0.0,"Repository: leannejoylibertad/Learning-Poverty-Dashboard-SDG-4-Quality-Education
Description: ""What factors significantly influence Learning Poverty across countries?An interactive, regression-powered dashboard built with Streamlit, analyzing the drivers of learning poverty across 75 countries (2000–2023) using World Bank Open Data.🔥""
Language: Python | Topics: nan
Stars: 0 | Forks: 0 | Contributors: 1
Size: 444 KB | Repo age: 0 days | Last commit: 0 days ago
README: present (4,861 bytes)
Tests: no test folder
CI/CD: not configured
Docker: absent
Dependencies: managed
Root file count: 11
Status: original",611,152,senior,0.85,"The repository is well-organized with a clear folder structure, comprehensive documentation (README with project overview, usage, and data sources), and dependency management (requirements.txt). It includes a multi-file Python application with modular design (data loading, regression, visualization), though lacks tests and CI/CD. The project demonstrates production-ready practices for a data dashboard, suitable for a senior engineer."
intern,1218429560,faysmiles/Flashcard-app,Flashcard facts and pictures combined as one!,Python,,0,0,0,1,253,False,False,0,35,False,0,False,True,False,False,5,0.0,0.0,"Repository: faysmiles/Flashcard-app
Description: ""Flashcard facts and pictures combined as one!""
Language: Python | Topics: nan
Stars: 0 | Forks: 0 | Contributors: 1
Size: 253 KB | Repo age: 35 days | Last commit: 0 days ago
README: missing
Tests: no test folder
CI/CD: not configured
Docker: absent
Dependencies: managed
Root file count: 5
Status: original",357,89,junior,0.85,"The repository has basic folder structure and dependency management, but lacks tests, CI/CD, and documentation. It is a small, single-contributor project with simple logic, typical of a junior developer's work."
lead_architect,108110,mongodb/mongo,The MongoDB Database,C++,"c-plus-plus,database,mongodb,nosql",28333,5778,25,326,1340337,False,False,0,6341,True,17453,False,True,False,True,56,0.0043,10.2518,"Repository: mongodb/mongo
Description: ""The MongoDB Database""
Language: C++ | Topics: c-plus-plus,database,mongodb,nosql
Stars: 28,333 | Forks: 5,778 | Contributors: 326
Size: 1,340,337 KB | Repo age: 6341 days | Last commit: 0 days ago
README: present (17,453 bytes)
Tests: no test folder
CI/CD: configured
Docker: absent
Dependencies: managed
Root file count: 56
Status: original",381,95,lead_architect,0.95,"This is the official MongoDB repository, a large-scale, multi-module database system with 28k+ stars, 326 contributors, and a complex architecture. It has CI/CD, dependency management, and extensive documentation, reflecting systems-level thinking and organizational impact typical of a lead architect."
junior,424847653,tshimada291/gtfs-jp-list-datecheck,GTFS/GTFS-JP固定URLデータ　日付チェック,Python,,11,1,1,1,2725,False,False,0,1664,True,2994,False,True,False,True,8,1.0,2.4849,"Repository: tshimada291/gtfs-jp-list-datecheck
Description: ""GTFS/GTFS-JP固定URLデータ　日付チェック""
Language: Python | Topics: nan
Stars: 11 | Forks: 1 | Contributors: 1
Size: 2,725 KB | Repo age: 1664 days | Last commit: 0 days ago
README: present (2,994 bytes)
Tests: no test folder
CI/CD: configured
Docker: absent
Dependencies: managed
Root file count: 8
Status: original",365,91,senior,0.85,"The repository has a well-organized structure with CI/CD, dependency management, and a clear purpose (date checking for GTFS-JP fixed URLs). Although it lacks tests, the presence of CI/CD, documentation, and active maintenance (last commit 0 days ago) indicates production-ready practices typical of a senior engineer. The small scale and single contributor prevent it from reaching lead_architect level."
lead_architect,41349039,dgraph-io/dgraph,high-performance graph database for real-time use cases,Go,"database,distributed,go,knowledge-graph",21670,1588,57,193,663929,False,False,0,3928,True,7691,True,True,False,True,56,0.0359,9.9837,"Repository: dgraph-io/dgraph
Description: ""high-performance graph database for real-time use cases""
Language: Go | Topics: database,distributed,go,knowledge-graph
Stars: 21,670 | Forks: 1,588 | Contributors: 193
Size: 663,929 KB | Repo age: 3928 days | Last commit: 0 days ago
README: present (7,691 bytes)
Tests: no test folder
CI/CD: configured
Docker: Dockerfile present
Dependencies: managed
Root file count: 56
Status: original",432,108,lead_architect,0.95,"Dgraph is a large-scale, distributed graph database with 21.6k stars, 193 contributors, and a 10+ year history, indicating a mature, production-grade system. Despite the absence of a dedicated test folder, the presence of CI/CD, Docker, dependency management, and a high root file count (56) suggest a complex, well-structured codebase. This level of community engagement, architectural complexity, and real-world impact aligns with a lead architect profile."
lead_architect,924551,rabbitmq/rabbitmq-server,Open source RabbitMQ: core server and tier 1 (built-in) plugins,JavaScript,"amqp,amqp-0-9-1,amqp1-0,message-broker,messaging,mqtt,rabbitmq,stomp,streaming,streams",13676,4009,241,282,232116,False,False,0,5728,True,4766,False,False,False,True,33,0.0601,9.5235,"Repository: rabbitmq/rabbitmq-server
Description: ""Open source RabbitMQ: core server and tier 1 (built-in) plugins""
Language: JavaScript | Topics: amqp,amqp-0-9-1,amqp1-0,message-broker,messaging,mqtt,rabbitmq,stomp,streaming,streams
Stars: 13,676 | Forks: 4,009 | Contributors: 282
Size: 232,116 KB | Repo age: 5728 days | Last commit: 0 days ago
README: present (4,766 bytes)
Tests: no test folder
CI/CD: configured
Docker: absent
Dependencies: no dependency file
Root file count: 33
Status: original",502,125,lead_architect,0.95,"This is a large-scale, multi-module system (232 MB, 282 contributors, 13.7k stars) with complex architecture, extensive CI/CD, and a long history (5728 days). Despite no explicit test folder, the project is a production-grade message broker with advanced engineering practices, indicating lead architect-level maturity."
junior,111921616,aiidalab/aiidalab-docker-stack,Docker images with the basic software stack for AiiDAlab,Python,"aiida,docker,python",9,15,23,16,719,False,False,0,3106,True,6538,False,True,True,True,16,1.5333,2.3026,"Repository: aiidalab/aiidalab-docker-stack
Description: ""Docker images with the basic software stack for AiiDAlab""
Language: Python | Topics: aiida,docker,python
Stars: 9 | Forks: 15 | Contributors: 16
Size: 719 KB | Repo age: 3106 days | Last commit: 0 days ago
README: present (6,538 bytes)
Tests: test folder present
CI/CD: configured
Docker: absent
Dependencies: managed
Root file count: 16
Status: original",411,102,senior,0.85,"The repository has a well-organized structure with tests, CI/CD, dependency management, and documentation, indicating production-ready practices. With 16 contributors and active maintenance over 8 years, it reflects senior-level engineering maturity. The presence of a test folder and CI/CD pipeline demonstrates a commitment to quality and reliability."
