label,repo_id,full_name,description,language,topics,stars,forks,open_issues,contributor_count,size_kb,is_fork,is_archived,last_commit_days_ago,repo_age_days,has_readme,readme_size_bytes,has_docker,has_requirements,has_tests_folder,has_ci_cd,root_file_count
lead_architect,2325298,torvalds/linux,Linux kernel source tree,C,,234626,62573,3,0,6303435,False,False,1,5379,True,6043,False,False,False,False,41
lead_architect,41881900,microsoft/vscode,Visual Studio Code,TypeScript,"editor,electron,microsoft,typescript,visual-studio-code",185410,40177,18102,323,1267776,False,False,0,3919,True,6826,False,True,True,True,40
lead_architect,20580498,kubernetes/kubernetes,Production-Grade Container Scheduling and Management,Go,"cncf,containers,go,kubernetes",122489,43189,2721,345,1475049,False,False,0,4373,True,4387,False,True,True,True,35
lead_architect,45717250,tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,"deep-learning,deep-neural-networks,distributed,machine-learning,ml,neural-network,python,tensorflow",195286,75322,4111,412,1327340,False,False,0,3854,True,11914,False,False,False,True,35
lead_architect,65600975,pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,Python,"autograd,deep-learning,gpu,machine-learning,neural-network,numpy,python,tensor",100208,27867,18334,321,1367304,False,False,0,3574,True,29372,True,True,True,True,74
lead_architect,724712,rust-lang/rust,Empowering everyone to build reliable and efficient software.,Rust,"compiler,language,rust",113132,15019,12494,444,904902,False,False,0,5824,True,3304,False,True,True,True,37
lead_architect,23096959,golang/go,The Go programming language,Go,"go,golang,language,programming-language",134070,19071,10118,379,440984,False,False,0,4299,True,1454,False,False,True,True,16
lead_architect,2211243,apache/kafka,Apache Kafka - A distributed event streaming platform,Java,"java,kafka,scala,streaming",32656,15214,380,347,292012,False,False,0,5399,True,14674,False,False,True,True,49
lead_architect,507775,elastic/elasticsearch,"Free and Open Source, Distributed, RESTful Search Engine",Java,"elasticsearch,java,search-engine",76748,25939,5775,352,1650445,False,False,0,5952,True,10283,False,False,True,True,51
lead_architect,3638964,ansible/ansible,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on rem",Python,"ansible,python",68701,24154,806,373,264792,False,False,0,5195,True,6060,False,True,True,True,22
