label,repo_id,full_name,description,language,topics,stars,forks,open_issues,contributor_count,size_kb,is_fork,is_archived,last_commit_days_ago,repo_age_days,has_readme,readme_size_bytes,has_docker,has_requirements,has_tests_folder,has_ci_cd,root_file_count
senior,123327588,nix-community/NUR,Nix User Repository: User contributed nix packages [maintainer=@Pandapip1],Python,"nix-packages,nixpkgs,nur,overlays",1853,497,48,443,24000,False,False,0,3010,True,16720,False,False,False,True,14
senior,376621261,Michaelpalacce/HomeLab,My HomeLab environment ,Python,,218,7,9,3,18018,False,False,0,1809,True,5729,False,False,False,True,12
senior,697717514,kijai/ComfyUI-KJNodes,Various custom nodes for ComfyUI,Python,,2631,295,319,52,26274,False,False,0,972,True,4304,False,True,False,True,15
senior,155182882,CharlesPikachu/freeproxy,FreeProxy: Collecting free proxies from internet. (全球海量高质量免费代理，支持爬取数十个免费代理分享源，支持自定义规则代理筛选，爬虫与数据分析必备，每日更新海量免费代理。),Python,"996icu,crawler,icu,iplocation,iplocator,proxy,proxy-checker,proxy-server,proxy-sources,proxypool,requests,spider",438,77,3,2,45014,False,False,0,2767,True,39849,False,True,False,True,16
senior,987211940,Dao-AILab/quack,A Quirky Assortment of CuTe Kernels,Python,,989,129,27,35,11917,False,False,0,372,True,2272,False,True,True,True,18
senior,89384186,reframe-hpc/reframe,A powerful Python framework for writing and running portable regression tests and benchmarks for HPC systems.,Python,"benchmarking,continuous-integration,framework,hpc,performance-testing,python3,regression-testing,validation-testing",277,123,120,70,52784,False,False,0,3319,True,5758,False,True,False,True,21
senior,2643878,learning-unlimited/ESP-Website,"A website to help manage the logistics of large, short-term educational programs",Python,,205,503,858,179,64624,False,False,0,5328,True,1561,True,False,False,True,18
senior,942272855,mims-harvard/ToolUniverse,Democratizing AI scientists with ToolUniverse,Python,"agents,ai-agents,ai-communication,ai-for-science,ai-scientists,automated-science,autonomous-agents,co-pilot,co-scientist,llms,lrm,mcp-servers,reasoning-agent,reasoning-language-models,scientific-skill,tool-use",1384,210,14,14,49002,False,False,0,450,True,9017,True,True,True,True,23
senior,742281453,ssili126/tv,自动收集的IPv4酒店电视直播源，自动测试播放速度，每日自动更新。 有CCTV央视卫视频道，及部分地方频道，播放流畅。也可在openwrt或群辉的docker运行。,Python,,1896,652,46,1,164217,False,False,0,866,True,1400,False,False,False,True,19
senior,1059472549,microsoft/apm,Agent Package Manager,Python,"ai-agents,claude-code,codex-cli,context-engineering,github-copilot,package-manager,prompt-engineering",2639,208,116,53,23057,False,False,0,251,True,8968,False,True,True,True,35
senior,939579295,youtubediscord/zapret,Zapret (Запрет обход блокировки Дискорда и Ютуба),Python,"bypass,dpi,dpi-bypass,dpi-bypassing,rkn,russia,vpn,vpn-service,zapret,zapret-discord-youtube",1119,82,176,5,12135,False,False,0,455,False,0,False,True,True,True,8
senior,850503727,TianmuTNT/iptv,🎉 自用IPTV源,Python,"auto-update,cctv,iptv,iptv-m3u,iptv-txt,python",345,27,0,2,19020,False,False,0,633,True,905,False,False,False,True,5
senior,970157421,Scottcjn/Rustchain,"DePIN for Vintage Hardware — Proof-of-Antiquity blockchain where old machines outmine new ones. AI-powered hardware fingerprinting, 15+ CPU architectures, Solana bridge (wRTC). $0 VC.",Python,"agent-economy,ai,ai-agents,blockchain,cryptocurrency,decentralized,depin,e-waste,green-computing,hardware-fingerprinting,machine-to-machine,micropayments,mining,open-source,powerpc,proof-of-antiquity,python,solana,sovereign-inference,vintage-hardware",354,404,752,219,32635,False,False,0,401,True,7364,True,True,True,True,269
senior,1197915312,dancinlab/hexa-lang,💎 Native compiler with atlas-bound theorems — 8 strict-lint stages · citation-enforced · no LLVM · no C-transpile,Python,"citation-enforced,compiler,hexa-family,hexa-lang,n6,native-compiler,number-theory,perfect-number,programming-language,strict-lint,theorem-atlas",224,80,1,2,171576,False,False,0,56,True,36953,False,False,True,True,157
senior,1077852283,giovi321/ios-backup-machine,"Offline, portable and automatic iPhone backup system",Python,,489,26,0,1,19832,False,False,0,223,True,21202,False,True,False,False,12
senior,319953437,robotcodedev/robotcode,"Open Source Toolkit for Robot Framework, providing Language Server Protocol support, Debugger, VSCode Extension, PyCharm Plugin and powerful CLI tools",Python,"language-server-protocol,lsp,lsp-server,python,robot,robotcode,robotframework,rpa,test,test-automation,test-framework,testing-tools,visual-studio-code,vscode,vscode-extension,vscode-language",281,32,127,14,52238,False,False,0,1995,True,11255,False,True,True,True,41
senior,304969957,Josverl/micropython-stubs,"Stubs of most MicroPython ports, boards and versions to make writing code that much simpler.",Python,"awesome-micropython,micropython,mypy,mypy-stubs,pycharm-ide,pylance,pylint,pyright,pyscript,static-typing,type-checking,type-stubs,vscode",303,30,31,11,63968,False,False,0,2048,True,20778,False,True,True,True,29
senior,912152163,Olshansk/rss-feeds,Generate RSS feeds for all the blogs that don't have one,Python,,576,65,17,13,22856,False,False,0,508,True,12890,False,True,False,True,24
senior,110621895,aws/sagemaker-python-sdk,A library for training and deploying machine learning models on Amazon SageMaker,Python,"aws,huggingface,machine-learning,mxnet,python,pytorch,sagemaker,tensorflow",2248,1264,425,431,176252,False,False,0,3116,True,19557,False,True,True,True,23
senior,944039567,NVIDIA/NeMo-Agent-Toolkit,The NVIDIA NeMo Agent toolkit is an open-source library for efficiently connecting and optimizing teams of AI agents.,Python,,2337,660,46,87,86702,False,False,0,447,True,16681,False,True,False,True,34
senior,298017988,googleapis/python-aiplatform,"A Python SDK for Vertex AI, a fully managed, end-to-end platform for data science and machine learning.",Python,,894,449,356,137,163507,False,False,0,2072,True,29342,False,True,True,True,35
senior,1065906954,gslege/CloudflareIP,全自动优选CF的IP，包含美国US，日本JP，新加坡SG，德国DE，荷兰NL等cloudflare每天每小时自动优选IP，自动生成CF免费Vless节点。,Python,"clash,cloudflare,cloudflare-pages,cloudflare-workers,nodes,v2ray,vless",428,222,12,2,12802,False,False,0,241,True,1270,False,True,False,True,20
senior,76596293,MozillaFoundation/foundation.mozilla.org,Mozilla Foundation website,Python,moz,394,157,402,68,109253,False,False,0,3450,True,5821,True,True,False,True,52
senior,126496611,project-koku/koku,An open source solution for cost management of cloud and hybrid cloud environments.,Python,"cloud,cost,cost-control,cost-estimation,cost-optimization,koku",312,126,13,50,33017,False,False,0,2987,True,13236,True,False,False,True,41
senior,878415519,xiaoji235/airport-free,"Free nodes, automatically renews subscription every 3hours",Python,"clash,v2ray",499,57,4,2,33643,False,False,0,579,True,3960,False,False,False,True,7
senior,15923295,pycalphad/pycalphad,"CALPHAD tools for designing thermodynamic models, calculating phase diagrams and investigating phase equilibria.",Python,"calphad,materials,materials-science,pycalphad,python,thermodynamics",382,133,45,25,86640,False,False,0,4515,True,3738,False,True,False,True,16
senior,170442073,icopy-site/awesome-cn,超赞列表合集,Python,"awesome,awesome-go,awesome-java,awesome-javascript,awesome-list,awesome-lists,awesome-php,awesome-python,awesome-reactjs,awesome-swift,awesome-vue,awesomeness,learn-to-code,learning,learning-java,learning-js,learning-python",1727,250,15,1,121035,False,False,0,2660,True,410,True,True,False,True,14
senior,170296325,icopy-site/awesome,collection of awesome lists,Python,"awesome,awesome-blockchain,awesome-code,awesome-css,awesome-flutter,awesome-go,awesome-java,awesome-javascript,awesome-list,awesome-lists,awesome-python,awesome-reactjs,awesome-swift,awesome-vue,awesomeness,learn-java,learn-javascript,learn-js,learn-to-code,learning",340,66,11,1,79709,False,False,0,2661,True,514,True,True,False,True,13
senior,664836912,socfortress/CoPilot,SOCFortress CoPilot,Python,,492,130,4,9,73465,False,False,0,1052,True,3748,False,True,False,True,23
senior,1071945250,nexi-lab/nexus,"Nexus, the shared heartbeat where every agent and human connect, collaborate, and evolve together.",Python,"ai-memory,context-engineering,context-store,filesystem,llm",225,9,82,8,84606,False,False,0,231,True,15924,True,True,True,True,52
senior,165788605,ccbogel/QualCoder,"Qualitative data analysis for text, images, audio, video. Cross platform. Python 3.12 or newer and PyQt6.",Python,qualitative-data-analysis,620,128,26,41,166030,False,False,0,2689,True,18388,False,True,True,True,27
senior,1113166275,Git-on-my-level/codex-autorunner,,Python,,808,69,4,7,53741,False,False,0,169,True,5400,False,True,True,True,32
senior,59858718,Pyomo/pyomo,An object-oriented algebraic modeling language in Python for structured optimization problems.,Python,"linear-programming,mathematical-programming,modeling-language,nonlinear-programming,optimization,python",2463,579,354,145,106485,False,False,0,3652,True,5596,False,True,False,True,22
senior,107997403,pyTMD/pyTMD,Python-based tidal prediction software,Python,"geodesy,geophysics,oceanography,tides",203,63,13,7,24261,False,False,0,3138,True,10653,False,True,True,True,17
