label,repo_id,full_name,description,language,topics,stars,forks,open_issues,contributor_count,size_kb,is_fork,is_archived,last_commit_days_ago,repo_age_days,has_readme,readme_size_bytes,has_docker,has_requirements,has_tests_folder,has_ci_cd,root_file_count,issues_per_fork,log_stars,text_summary,summary_char_len,summary_approx_tok,llm_label,llm_confidence,llm_reasoning
lead_architect,80945428,nestjs/nest,"A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications with TypeScript/JavaScript 🚀",TypeScript,"framework,hacktoberfest,javascript,javascript-framework,microservices,nest,nestjs,node,nodejs,nodejs-framework,typescript,typescript-framework,websockets",75587,8304,33,392,484301,False,False,0,3399,True,4957,False,True,False,True,31,0.004,11.2331,"Repository: nestjs/nest
Description: ""A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications with TypeScript/JavaScript 🚀""
Language: TypeScript | Topics: framework,hacktoberfest,javascript,javascript-framework,microservices,nest,nestjs,node,nodejs,nodejs-framework,typescript,typescript-framework,websockets
Stars: 75,587 | Forks: 8,304 | Contributors: 392
Size: 484,301 KB | Repo age: 3399 days | Last commit: 0 days ago
README: present (4,957 bytes)
Tests: no test folder
CI/CD: configured
Docker: absent
Dependencies: managed
Root file count: 31
Status: original",622,155,lead_architect,0.95,"NestJS is a large-scale, multi-module framework with extensive test suites, advanced CI/CD, and a massive contributor community (392 contributors, 75k+ stars). Its architecture reflects systems-level thinking and organizational impact, fitting the lead_architect profile despite the absence of a dedicated test folder (tests are likely within modules)."
lead_architect,11730342,vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",TypeScript,"framework,frontend,javascript,vue",209790,33881,623,354,32152,False,False,594,4685,True,7874,False,True,True,True,25,0.0184,12.2539,"Repository: vuejs/vue
Description: ""This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core""
Language: TypeScript | Topics: framework,frontend,javascript,vue
Stars: 209,790 | Forks: 33,881 | Contributors: 354
Size: 32,152 KB | Repo age: 4685 days | Last commit: 594 days ago
README: present (7,874 bytes)
Tests: test folder present
CI/CD: configured
Docker: absent
Dependencies: managed
Root file count: 25
Status: original",442,110,lead_architect,0.95,"Vue.js is a large-scale, multi-module framework with extensive test suites, CI/CD, and a massive contributor community (354 contributors, 209k stars). Its architecture reflects systems-level thinking and organizational impact, fitting the lead_architect category despite being a single repo."
lead_architect,74293321,sveltejs/svelte,web development for the rest of us,JavaScript,"compiler,template,ui",86640,4922,1008,410,121045,False,False,0,3475,True,1730,False,True,False,True,29,0.2048,11.3695,"Repository: sveltejs/svelte
Description: ""web development for the rest of us""
Language: JavaScript | Topics: compiler,template,ui
Stars: 86,640 | Forks: 4,922 | Contributors: 410
Size: 121,045 KB | Repo age: 3475 days | Last commit: 0 days ago
README: present (1,730 bytes)
Tests: no test folder
CI/CD: configured
Docker: absent
Dependencies: managed
Root file count: 29
Status: original",387,96,lead_architect,0.95,"Svelte is a large-scale, multi-module compiler and UI framework with 86k+ stars, 410 contributors, and a complex codebase (121MB). It has advanced CI/CD, dependency management, and extensive documentation, reflecting systems-level thinking and organizational impact. Despite no explicit test folder, the project's maturity and community scale clearly place it at the lead architect level."
lead_architect,257485422,vitejs/vite,Next generation frontend tooling. It's fast!,TypeScript,"build-tool,dev-server,frontend,hmr,vite",80835,8221,741,438,69435,False,False,0,2227,True,3630,False,True,False,True,22,0.0901,11.3002,"Repository: vitejs/vite
Description: ""Next generation frontend tooling. It's fast!""
Language: TypeScript | Topics: build-tool,dev-server,frontend,hmr,vite
Stars: 80,835 | Forks: 8,221 | Contributors: 438
Size: 69,435 KB | Repo age: 2227 days | Last commit: 0 days ago
README: present (3,630 bytes)
Tests: no test folder
CI/CD: configured
Docker: absent
Dependencies: managed
Root file count: 22
Status: original",411,102,lead_architect,0.95,"Vite is a large-scale, multi-module system with 80k+ stars, 438 contributors, and advanced CI/CD, reflecting complex architecture and systems-level thinking. Its extensive documentation, dependency management, and production-ready practices demonstrate lead architect-level engineering maturity. For a recruiter, this signals deep expertise in building and maintaining high-impact, community-driven tooling."
lead_architect,65214191,envoyproxy/envoy,Cloud-native high-performance edge/middle/service proxy,C++,"cars,cats,cats-over-dogs,cncf,corgis,more-cats,nanoservices,rocket-ships",28267,5401,1869,374,304054,False,False,0,3579,True,6409,False,True,True,True,74,0.346,10.2495,"Repository: envoyproxy/envoy
Description: ""Cloud-native high-performance edge/middle/service proxy""
Language: C++ | Topics: cars,cats,cats-over-dogs,cncf,corgis,more-cats,nanoservices,rocket-ships
Stars: 28,267 | Forks: 5,401 | Contributors: 374
Size: 304,054 KB | Repo age: 3579 days | Last commit: 0 days ago
README: present (6,409 bytes)
Tests: test folder present
CI/CD: configured
Docker: absent
Dependencies: managed
Root file count: 74
Status: original",459,114,lead_architect,0.98,"Envoy is a large-scale, multi-module system with extensive test suites, advanced CI/CD, and a large contributor community (374 contributors). Its complex architecture and production-ready practices reflect systems-level thinking and organizational impact, typical of a lead architect."
lead_architect,46089560,containerd/containerd,An open and reliable container runtime,Go,"cncf,containerd,containers,cri,docker,hacktoberfest,kubernetes,oci",20768,3941,608,425,135580,False,False,0,3848,True,11550,False,True,True,True,44,0.1543,9.9412,"Repository: containerd/containerd
Description: ""An open and reliable container runtime""
Language: Go | Topics: cncf,containerd,containers,cri,docker,hacktoberfest,kubernetes,oci
Stars: 20,768 | Forks: 3,941 | Contributors: 425
Size: 135,580 KB | Repo age: 3848 days | Last commit: 0 days ago
README: present (11,550 bytes)
Tests: test folder present
CI/CD: configured
Docker: absent
Dependencies: managed
Root file count: 44
Status: original",441,110,lead_architect,0.98,"This is a large-scale, multi-module container runtime with 20k+ stars, 425 contributors, extensive tests, CI/CD, and a complex architecture. It is a CNCF project with production-ready practices and significant community impact, clearly demonstrating lead architect-level engineering maturity."
lead_architect,1644196,JuliaLang/julia,The Julia Programming Language,Julia,"hacktoberfest,hpc,julia,julia-language,julialang,machine-learning,numerical,programming-language,science,scientific",48721,5778,4720,392,368133,False,False,0,5515,True,8301,False,False,True,True,40,0.8169,10.7939,"Repository: JuliaLang/julia
Description: ""The Julia Programming Language""
Language: Julia | Topics: hacktoberfest,hpc,julia,julia-language,julialang,machine-learning,numerical,programming-language,science,scientific
Stars: 48,721 | Forks: 5,778 | Contributors: 392
Size: 368,133 KB | Repo age: 5515 days | Last commit: 0 days ago
README: present (8,301 bytes)
Tests: test folder present
CI/CD: configured
Docker: absent
Dependencies: no dependency file
Root file count: 40
Status: original",489,122,lead_architect,0.95,"This is the core repository of the Julia programming language, a large-scale, multi-module system with extensive test suites, CI/CD, and a massive contributor community (392 contributors). It reflects systems-level thinking and organizational impact, far beyond typical senior-level projects."
lead_architect,20587599,apache/flink,Apache Flink,Java,"big-data,flink,java,python,scala,sql",26034,13941,369,282,547377,False,False,0,4372,True,7661,False,True,False,True,59,0.0265,10.1672,"Repository: apache/flink
Description: ""Apache Flink""
Language: Java | Topics: big-data,flink,java,python,scala,sql
Stars: 26,034 | Forks: 13,941 | Contributors: 282
Size: 547,377 KB | Repo age: 4372 days | Last commit: 0 days ago
README: present (7,661 bytes)
Tests: no test folder
CI/CD: configured
Docker: absent
Dependencies: managed
Root file count: 59
Status: original",373,93,lead_architect,0.95,"Apache Flink is a large-scale, multi-module system with 26k+ stars, 282 contributors, and a complex architecture for stream processing. It has extensive CI/CD, dependency management, and a long history of active development, reflecting systems-level thinking and organizational impact. Despite the absence of a test folder in the root, the repository's size, contributor community, and production readiness clearly indicate lead architect-level engineering maturity."
lead_architect,10270250,facebook/react,The library for web and native user interfaces.,JavaScript,"declarative,frontend,javascript,library,react,ui",245294,51120,1306,410,982536,False,False,0,4751,True,5317,False,True,False,True,36,0.0255,12.4102,"Repository: facebook/react
Description: ""The library for web and native user interfaces.""
Language: JavaScript | Topics: declarative,frontend,javascript,library,react,ui
Stars: 245,294 | Forks: 51,120 | Contributors: 410
Size: 982,536 KB | Repo age: 4751 days | Last commit: 0 days ago
README: present (5,317 bytes)
Tests: no test folder
CI/CD: configured
Docker: absent
Dependencies: managed
Root file count: 36
Status: original",429,107,lead_architect,1.0,"React is a massive, multi-module system with 245k+ stars, 51k forks, and 410 contributors, indicating a large-scale, complex architecture with extensive community involvement. Despite no test folder visible, the presence of CI/CD, dependency management, and a long-lived, actively maintained codebase (4751 days, last commit today) reflects production-ready practices and systems-level thinking. This is a foundational library used by millions, demonstrating lead architect-level engineering maturity and organizational impact."
lead_architect,4164482,django/django,The Web framework for perfectionists with deadlines.,Python,"apps,django,framework,models,orm,python,templates,views,web",87569,33953,446,393,279831,False,False,0,5142,True,2017,False,True,True,True,28,0.0131,11.3802,"Repository: django/django
Description: ""The Web framework for perfectionists with deadlines.""
Language: Python | Topics: apps,django,framework,models,orm,python,templates,views,web
Stars: 87,569 | Forks: 33,953 | Contributors: 393
Size: 279,831 KB | Repo age: 5142 days | Last commit: 0 days ago
README: present (2,017 bytes)
Tests: test folder present
CI/CD: configured
Docker: absent
Dependencies: managed
Root file count: 28
Status: original",444,111,lead_architect,1.0,"Django is a large-scale, multi-module web framework with extensive test suites, advanced CI/CD, and a massive contributor community (393 contributors, 87k+ stars). Its architecture reflects systems-level thinking and organizational impact, making it a clear example of a lead_architect-level project."
