full_name,llm_label,stars,has_ci_cd,has_tests_folder,bert_pred,baseline_pred,bert_correct,base_correct
15r10nk/inline-snapshot,senior,731,True,True,lead_architect,senior,False,True
52454D434F/hackster-rss,junior,0,True,False,low_value,junior,False,True
Arman171/WebForensic,senior,12,False,False,lead_architect,junior,False,False
DevSykes/Proyecto-3-Katas-Python,intern,2,False,False,low_value,intern,False,True
Michaelpalacce/HomeLab,senior,218,True,False,low_value,low_value,False,False
PBH-BTN/BTN-Collected-Rules,senior,547,True,False,low_value,low_value,False,False
REVERSEDCD/jobspy-api,senior,9,False,True,lead_architect,senior,False,True
SpaceTimee/Fusion-JetBrainsMapleMono,senior,2065,True,False,lead_architect,low_value,False,False
Surfboardv2ray/TGProto,senior,12,True,False,lead_architect,senior,False,True
Tumelo-create/Dashboard-for-65-Tumelo,intern,0,False,False,low_value,junior,False,False
agentcage/agentcage,senior,13,True,True,lead_architect,senior,False,True
anacarolinademariamello-hue/dash-digital-app,junior,0,True,False,low_value,junior,False,True
anarkiwi/preframr,senior,12,True,True,junior,senior,False,True
astrodragonv/claudecode-rule2hook,junior,19,False,False,low_value,low_value,False,False
bvis/aegis-hass,senior,40,True,True,lead_architect,senior,False,True
cenodude/CrossWatch,senior,599,True,True,lead_architect,senior,False,True
chickengir1/agent-orchestration-infra,junior,0,False,False,low_value,junior,False,True
cxyfreedom/website-hot-hub,senior,356,True,False,low_value,senior,False,True
daytonhd/calia-smart-scheduling,junior,0,False,False,lead_architect,junior,False,True
electron/minimal-repro,template_boilerplate,11446,True,False,senior,senior,False,False
empyreandance/hrrr-ingest,intern,0,False,False,low_value,intern,False,True
gf3/dotfiles,low_value,1116,False,False,senior,low_value,False,True
hoangtuanhehehehhe/AgentVault,junior,8,False,False,senior,senior,False,False
icopy-site/awesome,low_value,340,True,False,lead_architect,lead_architect,False,False
individuum/dllm,junior,0,False,True,senior,senior,False,False
irfanbob26/AI-Chatbot,junior,7,False,False,lead_architect,junior,False,True
jsherman999/BrickBlade,junior,0,False,True,low_value,junior,False,True
kamogashira-sys/q-cli-docs,senior,12,True,False,low_value,junior,False,False
kubernetes-retired/dashboard,low_value,15428,True,False,lead_architect,lead_architect,False,False
laminlabs/lamindb,senior,267,True,True,lead_architect,lead_architect,False,False
mattcline/jobstream,junior,0,False,False,low_value,junior,False,True
nicholasjackson/fake-service,senior,416,True,False,lead_architect,lead_architect,False,False
nickjj/docker-node-example,senior,230,True,False,lead_architect,senior,False,True
postgres/postgres,lead_architect,21010,True,False,template_boilerplate,lead_architect,False,True
pycalphad/pycalphad,senior,382,True,False,lead_architect,senior,False,True
pypa/sampleproject,template_boilerplate,5243,True,True,lead_architect,senior,False,False
rafaelUribe/atlassian-local-mcp,junior,0,False,False,low_value,junior,False,True
socfortress/CoPilot,senior,492,True,False,low_value,senior,False,True
susfgdou/stats-array-variancepn,junior,1,False,True,senior,senior,False,False
sveltejs/kit,senior,20534,True,False,lead_architect,lead_architect,False,False
tahaefendy/val-eloboost,junior,0,False,False,low_value,junior,False,True
thinker84/Real-Time-stock-price-prediction-and-market-analysis-using-Machine-Learning,senior,16,True,False,lead_architect,lead_architect,False,False
xFengleN/MiniBountyFactory_LangGraph,junior,0,False,True,low_value,junior,False,True
zaza6525/zaza-semantic-engine,senior,0,True,True,lead_architect,senior,False,True
